date,index_code,index_name,close,pe_ttm,pe_static,pb,dividend_yield,bond_yield
2021-01-28,000015,上证红利,2505.3400,6.6000,6.1000,0.7100,7.9805,3.1961
2021-01-29,000015,上证红利,2483.5000,6.6100,6.1000,0.7100,8.0042,3.1786
2021-02-01,000015,上证红利,2504.4400,6.6400,6.1400,0.7200,7.9452,3.1712
2021-02-02,000015,上证红利,2510.2100,6.6200,6.1200,0.7100,7.9687,3.1862
2021-02-03,000015,上证红利,2487.5900,6.6000,6.1000,0.7100,7.9805,3.2112
2021-02-04,000015,上证红利,2472.3200,6.5900,6.0900,0.7100,7.9805,3.2347
2021-02-05,000015,上证红利,2490.7100,6.7300,6.2200,0.7200,7.8525,3.2164
2021-02-08,000015,上证红利,2505.1700,6.7400,6.2300,0.7200,7.8411,3.2370
2021-02-09,000015,上证红利,2521.7300,6.7400,6.2300,0.7200,7.8297,3.2303
2021-02-10,000015,上证红利,2535.1300,6.8300,6.3100,0.7300,7.7620,3.2449
2021-02-18,000015,上证红利,2608.9600,6.9100,6.3800,0.7400,7.6409,3.2831
2021-02-19,000015,上证红利,2661.5500,6.9300,6.4100,0.7400,7.6085,3.2578
2021-02-22,000015,上证红利,2701.3700,7.0400,6.5100,0.7600,7.5130,3.2736
2021-02-23,000015,上证红利,2675.7000,7.0400,6.5000,0.7600,7.5340,3.2635
2021-02-24,000015,上证红利,2642.5900,6.9300,6.4000,0.7400,7.6301,3.2627
2021-02-25,000015,上证红利,2687.7300,7.0800,6.5400,0.7600,7.4817,3.2723
2021-02-26,000015,上证红利,2629.7600,6.9500,6.4200,0.7500,7.6301,3.2798
2021-03-01,000015,上证红利,2673.5900,6.9700,6.4400,0.7500,7.5978,3.2475
2021-03-02,000015,上证红利,2652.7200,6.8800,6.3600,0.7400,7.6735,3.2474
2021-03-03,000015,上证红利,2723.6400,7.1000,6.5600,0.7600,7.4817,3.2553
2021-03-04,000015,上证红利,2717.5700,7.0700,6.5300,0.7600,7.5130,3.2655
2021-03-05,000015,上证红利,2691.8000,7.0900,6.5500,0.7600,7.4921,3.2457
2021-03-08,000015,上证红利,2674.6700,7.0300,6.5000,0.7600,7.5446,3.2404
2021-03-09,000015,上证红利,2671.7400,6.9800,6.4500,0.7500,7.5871,3.2478
2021-03-10,000015,上证红利,2650.0000,6.9400,6.4200,0.7500,7.6301,3.2353
2021-03-11,000015,上证红利,2703.1200,7.0500,6.5200,0.7600,7.5235,3.2506
2021-03-12,000015,上证红利,2729.9500,7.0700,6.5400,0.7600,7.4817,3.2613
2021-03-15,000015,上证红利,2754.3300,7.1600,6.6200,0.7700,7.3995,3.2740
2021-03-16,000015,上证红利,2761.0500,7.2000,6.6600,0.7700,7.3691,3.2614
2021-03-17,000015,上证红利,2746.2400,7.1200,6.5900,0.7600,7.4404,3.2564
2021-03-18,000015,上证红利,2744.9700,7.0900,6.5600,0.7600,7.4713,3.2592
2021-03-19,000015,上证红利,2725.7900,6.9500,6.4300,0.7500,7.5978,3.2364
2021-03-22,000015,上证红利,2756.5600,7.0400,6.5100,0.7600,7.5235,3.2309
2021-03-23,000015,上证红利,2727.0100,6.9900,6.4700,0.7500,7.5658,3.2105
2021-03-24,000015,上证红利,2680.4500,6.9300,6.4100,0.7400,7.6301,3.1930
2021-03-25,000015,上证红利,2682.6500,6.9100,6.3900,0.7400,7.6626,3.1882
2021-03-26,000015,上证红利,2718.1400,6.9400,6.4200,0.7400,7.6301,3.1985
2021-03-29,000015,上证红利,2755.9200,6.8100,6.6200,0.7400,7.5130,3.1962
